Регион,Несовершеннолетними или при их соучастии 2016,Ранее совершавшими преступления 2016,В том числе ранее судимыми 2016,Группой лиц 2016,Группой лиц по предварительному сговору 2016,Организованной группой 2016,Преступным сообществом (преступной организацией) 2016,В состоянии алкогольного опьянения 2016,В состоянии наркотического опьянения 2016,В состоянии токсического опьянения 2016,Несовершеннолетними или при их соучастии 2017,Ранее совершавшими преступления 2017,В том числе ранее судимыми 2017,Группой лиц 2017,Группой лиц по предварительному сговору 2017,Организованной группой 2017,Преступным сообществом (преступной организацией) 2017,В состоянии алкогольного опьянения 2017,В состоянии наркотического опьянения 2017,В состоянии токсического опьянения 2017,Несовершеннолетними или при их соучастии 2018,Ранее совершавшими преступления 2018,В том числе ранее судимыми 2018,Группой лиц 2018,Группой лиц по предварительному сговору 2018,Организованной группой 2018,Преступным сообществом (преступной организацией) 2018,В состоянии алкогольного опьянения 2018,В состоянии наркотического опьянения 2018,В состоянии токсического опьянения 2018,Несовершеннолетними или при их соучастии 2019,Ранее совершавшими преступления 2019,В том числе ранее судимыми 2019,Группой лиц 2019,Группой лиц по предварительному сговору 2019,Организованной группой 2019,Преступным сообществом (преступной организацией) 2019,В состоянии алкогольного опьянения 2019,В состоянии наркотического опьянения 2019,В состоянии токсического опьянения 2019,Несовершеннолетними или при их соучастии 2020,Ранее совершавшими преступления 2020,В том числе ранее судимыми 2020,Группой лиц 2020,Группой лиц по предварительному сговору 2020,Организованной группой 2020,Преступным сообществом (преступной организацией) 2020,В состоянии алкогольного опьянения 2020,В состоянии наркотического опьянения 2020,В состоянии токсического опьянения 2020,Несовершеннолетними или при их соучастии 2021,Ранее совершавшими преступления 2021,В том числе ранее судимыми 2021,Группой лиц 2021,Группой лиц по предварительному сговору 2021,Организованной группой 2021,Преступным сообществом (преступной организацией) 2021,В состоянии алкогольного опьянения 2021,В состоянии наркотического опьянения 2021,В состоянии токсического опьянения 2021,"Членом семьи, супругом, сожителем, сексуальным партнером (в том числе бывшими) 2021",Из них в отношении женщин 2021,Из них в отношении несовершеннолетних 2021,Иностранными гражданами и лицами без гражданства 2021,Из них гражданами государств – участников СНГ 2021,Из них трудовых мигрантов 2021,Из них незаконных мигрантов 2021
Оренбургская область,4339,62272,35008,498,8003,1975,85,47519,1859,3,4495,63373,36990,480,9331,4359,613,42742,2077,0,3757,63433,38013,388,11808,4349,571,37130,2320,8,3619,63612,38689,258,12970,4135,1288,35873,1764,36,3189,66631,39723,387,12369,3877,100,35872,1015,0,2559,63428,37972,302,8442,1154,10,34159,862,22,13867,9723,6248,3270,2839,78,236
Орловская область,1397,17350,8773,281,2226,181,231,12259,911,0,1065,17630,8207,56,2220,254,54,10561,432,0,852,17442,9126,89,1743,59,0,9374,194,0,1141,18304,9665,82,2083,117,0,8449,200,0,704,15477,8283,91,2027,173,605,7953,161,0,482,14529,7457,46,1654,252,65,6620,154,0,3254,2187,1876,386,245,12,12
Пензенская область,1775,36146,18389,260,3881,280,35,26313,389,15,1236,33051,17095,125,3635,64,0,23251,427,16,1289,31784,16876,153,3460,94,4,23962,353,18,1515,33158,17375,136,3666,991,173,21831,372,13,1490,34369,18852,212,3663,290,80,21705,174,0,1098,34138,18784,131,3193,815,54,19173,163,1,8649,5983,4401,954,678,105,51
Пермский край,12002,119934,66623,1317,15154,1853,222,90868,2760,35,9173,105664,60573,561,12750,847,348,70873,1013,39,7374,98170,58842,665,11048,1444,103,62576,1091,20,8120,96983,57939,720,11547,3250,287,57450,988,12,6146,88267,54921,604,9886,2834,70,52211,896,9,4868,87336,54927,384,9732,2823,32,46163,1055,10,23072,15882,11259,1309,989,84,167
Приморский край,7685,84659,45474,875,7153,1126,11,50603,4797,13,5770,76630,40000,594,6096,731,79,39586,4824,0,4956,73419,39525,649,5139,478,0,35689,876,2,5241,66468,34586,414,4950,780,252,32294,859,12,4081,64779,34821,508,4223,492,51,31215,905,0,4545,69570,35978,410,4571,891,30,33366,663,14,13085,8207,6539,3303,2606,56,230
Псковская область,1753,20975,10764,191,3341,159,0,13643,384,3,1647,18052,9633,148,3571,326,0,11711,167,0,1293,18210,10408,48,2676,31,69,11828,283,0,2419,20312,11409,65,4667,108,1250,11750,151,0,1401,21174,11861,46,3700,1128,3092,11788,77,0,849,20412,12126,79,2209,6300,0,9430,57,0,4158,3005,1784,1278,912,37,92
Республика Адыгея,752,8836,3970,55,1269,244,9,5955,188,0,875,10143,5246,70,1190,31,24,5021,348,0,549,8695,4744,23,1261,82,0,4417,126,0,546,10115,4962,9,1230,438,0,4383,73,0,484,11027,4292,14,1222,230,0,3920,121,0,447,8639,4739,11,1622,235,13,3673,87,0,1846,1148,1212,421,242,0,10
Республика Алтай,1423,14889,5623,13,1085,16,1,12102,89,0,906,14516,6284,59,1131,50,30,10827,190,0,852,14505,6623,69,989,89,0,10205,8,0,880,14152,6119,62,895,0,0,9576,16,0,648,14976,7221,4,580,27,0,10236,8,0,583,15767,7199,9,593,49,0,9283,39,0,4913,3877,1433,231,193,8,0
Республика Башкортостан,8049,139284,78152,947,11542,761,354,124519,7207,3,6106,134400,75761,656,9228,946,0,114062,7435,26,6559,128953,72755,731,9339,603,214,97025,6045,23,7152,118782,69207,694,10706,1131,0,82718,1044,12,6351,113679,67917,524,8343,1161,105,76755,795,42,4396,120954,72744,479,7428,1260,30,72508,1024,0,29137,20918,11067,1273,996,75,161
Республика Бурятия,5794,69473,26273,397,6076,655,0,47621,3244,0,5013,56618,23158,291,4915,577,36,39864,3388,2,5341,56264,24309,307,4166,878,0,37519,2925,0,4051,51299,23087,352,3730,305,413,33498,1061,0,3718,47674,20801,174,2573,470,408,32430,660,0,3384,50088,23158,456,2435,909,251,33140,806,9,11601,8594,3752,402,293,52,42
Республика Дагестан,2362,25410,16413,236,5670,2973,25,6522,1797,16,1505,21932,12270,112,4672,2925,9,4642,1410,6,2009,27283,12693,186,5516,2629,60,4848,511,0,1751,29271,14106,137,4072,1033,54,5537,258,9,1192,29104,13718,262,3622,1111,73,4757,107,0,1253,31804,14231,63,3433,1468,57,4883,114,0,3807,2457,3196,762,637,70,37
Республика Ингушетия,41,1379,1336,32,620,96,9,1071,440,2,94,1397,1166,24,526,196,0,701,391,0,253,1517,1263,276,613,260,15,567,456,0,221,1716,1308,33,600,29,0,540,353,0,128,1842,1314,61,326,87,34,685,168,0,149,2489,1695,79,323,62,391,1211,154,0,232,166,110,302,272,0,0
Республика Калмыкия,389,7650,2937,87,490,51,0,4668,382,0,300,7464,3354,70,516,6,0,4689,299,8,377,8357,3931,93,438,8,0,4581,86,0,404,7983,3617,131,497,128,0,4627,94,0,447,8662,3839,149,410,143,10,4856,174,9,249,8654,3663,106,402,399,18,4556,74,6,1493,1168,428,165,94,0,7
Республика Карелия,3207,29453,12831,247,3415,257,0,21363,235,56,3954,25149,10857,245,3789,184,146,18041,189,2,2780,24206,12354,250,2957,176,0,15046,349,3,3496,26825,13694,147,3779,366,2,15170,280,1,2738,26861,14110,102,2742,341,232,15246,513,94,2338,27424,15491,63,2245,1736,12,13655,257,22,5414,3591,2729,381,245,29,20
Республика Коми,4991,51263,28003,857,4552,345,320,43229,669,5,3238,45232,26515,387,4144,587,158,33271,237,24,2354,41906,25701,436,2970,529,127,29044,233,0,3000,41255,24642,386,3233,417,111,27614,321,13,2634,41584,25877,320,2782,1189,238,27079,269,9,2071,40834,24766,275,2149,834,94,25494,247,1,9262,5964,4102,946,617,102,47
Республика Крым,3805,36746,27539,1296,6520,376,70,18808,1087,20,3177,41321,27694,232,5737,312,0,19832,1586,38,3231,40971,24390,243,5384,519,84,17965,786,19,2384,41029,24457,167,5493,553,40,17959,637,0,2707,43172,24407,127,5394,924,46,17788,579,1,2739,44414,24093,97,5550,1360,110,17215,453,0,8132,5580,4000,6959,1055,32,91
Республика Марий Эл,1990,16747,7375,102,2028,114,0,14704,614,0,1240,16206,7858,109,1795,631,0,11972,757,14,1243,16308,8159,80,1731,322,125,11625,368,0,1382,15939,8164,105,1989,411,75,10916,134,0,1113,14532,6926,21,1813,136,12,10545,61,0,848,14862,7907,43,1120,373,35,9240,109,8,4152,2696,2107,174,113,12,0
Республика Мордовия,1314,22511,12214,245,2285,192,0,15185,415,0,871,22428,11879,152,2197,178,7,13112,305,0,1083,22761,12838,176,2399,209,21,12873,617,0,898,21275,11667,163,1831,54,18,12056,726,0,869,22200,11865,115,1888,1508,406,12362,383,0,528,20343,10661,70,2631,896,20,10723,626,0,6304,4334,3498,258,220,10,0
Республика Саха,2757,27679,12279,702,3038,377,24,29962,519,6,2941,28594,13049,277,2859,326,48,28711,367,75,2641,25996,12478,291,2707,379,7,26497,225,10,2806,28099,13545,417,2368,1184,65,27139,294,0,2118,27751,13358,346,2002,830,24,25492,141,0,1558,30752,15653,229,2028,1074,60,25296,196,0,6931,4771,3346,1311,1087,341,47
Республика Северная Осетия – Алания,675,14246,7546,143,1530,63,64,5382,222,3,489,17531,10641,142,1734,345,0,6013,262,2,344,18553,12387,191,1198,547,0,6628,568,0,484,18449,12619,144,1600,343,21,3583,458,25,386,20432,13639,104,1333,345,5,2953,415,0,218,18297,12981,95,1509,311,49,2146,334,12,1198,791,869,872,474,0,25
Республика Татарстан,7662,104832,50530,971,15285,2618,408,69340,3840,13,5505,101591,53977,468,11528,1963,276,62752,3298,3,5025,92229,50535,415,9546,2089,222,57307,3128,1,5779,87924,49366,609,9031,1252,139,51306,2609,2,5793,98535,54352,404,9909,1055,35,54214,2915,0,4543,93496,52861,263,7417,3035,441,51901,2608,4,20535,15204,8152,3390,2455,239,215
Республика Тыва,1455,13176,6912,108,1762,77,0,14598,40,0,1671,15238,7356,151,1570,70,0,13706,146,0,2238,16608,7938,182,1480,35,0,14897,86,0,2126,17835,8741,128,1299,44,0,13139,104,0,1834,15950,8149,92,1077,48,2,13193,61,0,1269,17292,8908,110,922,373,0,13201,114,0,4060,2901,881,47,11,0,0
Республика Хакасия,1984,33808,16136,138,2584,26,30,23851,1052,4,1399,33910,16701,57,2458,85,16,22176,1580,1,1527,34940,18708,121,2577,85,6,19660,922,0,1239,31738,16276,49,2127,114,20,16815,799,11,1476,31008,16450,119,1592,165,92,17620,513,0,936,31560,17558,71,1280,223,55,15616,403,0,6987,4679,4089,295,242,9,69
Ростовская область,7540,119492,70340,1010,14894,1019,378,48416,4208,1,6294,118871,68034,658,14147,776,108,44744,5295,43,6457,124228,75796,473,14812,453,0,44239,1302,18,6889,114643,69612,456,15677,1239,102,39302,808,12,4963,108646,65131,435,15498,617,0,38444,595,11,4699,110151,64401,343,15033,839,322,34335,854,14,16325,10755,7663,4764,1501,59,425
Рязанская область,1850,27355,12967,173,3989,265,336,17688,364,20,765,23368,11977,138,2548,321,14,15490,225,4,1040,22061,12164,144,2962,252,6,13556,204,23,821,23537,12966,144,2980,195,20,12737,183,9,1004,24031,12629,108,3382,97,34,11665,221,0,632,23615,12539,98,2266,266,35,11166,165,14,4030,2987,1485,1368,960,153,27
Самарская область,5926,123571,70764,1076,9209,535,262,62296,6652,0,4978,109085,63946,270,9048,1684,552,51557,4116,0,4352,98516,58777,386,10235,1660,57,45713,3140,2,4994,96641,58257,229,13742,1417,1916,39218,1819,4,6230,98688,60755,266,19165,1102,154,36368,1714,27,4344,109927,69466,362,16286,1273,140,33641,1118,8,10730,7325,6129,5647,4540,440,553
Саратовская область,3818,57459,31830,447,7297,1456,58,42048,1055,28,3366,57861,29679,319,7729,1126,65,37830,1389,20,3429,61605,33246,401,9129,1038,100,37451,1080,18,2527,55973,30353,251,6321,762,239,34275,335,12,2613,57914,33845,250,6362,564,262,33761,594,0,2553,62661,35351,111,6339,1644,24,32112,691,1,13143,9467,7457,1840,1170,66,90
Сахалинская область,2021,22210,10778,128,2381,377,4,15102,349,0,1755,20038,10196,233,1953,294,0,13259,561,12,1428,18162,9381,153,2080,104,12,13124,400,44,1501,17483,8981,159,1637,76,5,11193,321,0,1643,19458,10297,155,2137,373,0,11746,380,5,1652,21143,10635,118,1634,219,27,12469,405,1,3857,2547,1745,952,767,92,28
Свердловская область,15467,142754,98140,1472,19969,1188,41,112821,5265,118,12129,131753,89127,968,19592,1338,24,90936,3913,95,13538,139643,87289,749,20461,2324,13,85796,1124,74,12129,135935,79324,765,18874,1781,2,81765,949,22,10358,135065,81383,538,16983,1544,14,77930,993,44,9133,134591,81922,412,16272,1608,73,74844,1265,13,30515,23411,11414,5136,4493,958,228
Смоленская область,1375,34481,18167,778,3498,181,56,22524,643,4,1576,28916,14273,326,4874,69,0,19114,524,20,1806,29481,15337,300,4138,97,59,18421,277,0,1662,27773,14722,220,4114,92,77,17068,230,14,1556,29628,16326,161,3562,329,71,15992,219,0,1196,29567,15923,115,3292,158,19,15484,142,24,7201,4761,2924,2384,1803,39,458
Ставропольский край,6123,65098,42032,1566,8079,1614,1075,31685,828,4,4414,59882,40130,1194,7120,2879,238,22810,933,0,5207,58982,36844,1228,7299,826,1880,21503,424,26,4054,61109,37253,742,6446,2017,340,19359,339,44,4011,69873,43320,772,6167,1493,846,20376,489,25,3386,68631,42246,707,5487,7135,466,18541,519,32,8771,5913,3918,1980,1126,100,56
Тамбовская область,1494,34524,16551,289,3135,439,120,19915,1383,0,999,31998,16215,232,2363,125,210,17548,994,11,1280,31871,16143,184,3121,239,100,16520,549,7,1250,33685,17333,170,3425,568,0,16687,473,0,1162,39773,21750,178,3496,269,593,18683,170,0,944,43676,24848,126,2685,766,36,16604,413,0,7651,5366,3712,879,497,41,11
Тверская область,3189,34862,18245,553,6924,512,113,28510,560,34,2235,30895,16883,452,5507,395,39,23265,427,6,2175,30229,16472,174,5582,467,21,21041,368,10,1829,29581,16452,217,4509,564,0,18600,209,9,2444,32278,18808,207,5405,245,1,20143,381,0,2042,30282,17304,118,4817,575,9,15765,501,11,9216,6012,5574,1760,1347,232,89
Томская область,4207,49929,25136,378,3054,183,0,27533,408,43,3336,51315,26482,249,3581,248,0,25013,445,2,3100,47824,26815,180,3664,240,36,22858,181,2,2927,44966,25243,275,2995,383,34,21531,248,14,2509,44191,23982,227,2803,109,19,21897,252,7,1085,45521,23091,155,2442,185,48,19043,121,70,11163,7232,6097,1117,921,131,248
